question_id,options,correct
1,BDFO,True
1,0HP,False
1,ZY,False
1,BDE,False
2,EQX,True
3,RV,True
3,YFU,False
3,3L,False
3,XP04D,False
4,EU,True
4,REL8W,False
4,GG9H,False
4,R5,False
5,ZC,True
5,U744,False
5,VZ,False
5,9G4AY,False
6,P69S,True
6,3MC8,False
6,MJ,False
6,NJTFC,False
7,8X,True
7,J3N1,False
7,3QCBM,False
7,9RY1,False
8,U6,True
8,7YQTK,False
8,AN3,False
8,UAT,False
9,QHPV,True
9,J1EKG,False
9,HY,False
9,UF,False
10,EXW1,True
10,SV,False
10,AP,False
10,PVZ,False
11,C67,True
11,GPJD,False
11,CCC2,False
11,2C1R,False
12,DAQT,True
12,SR,False
12,RE3GC,False
12,OVMN,False
13,F0Z,True
14,09,True
14,MN,False
14,MKRG,False
14,XNRJ,False
15,9MLW,True
15,F1DFC,False
15,ZKX,False
15,BGJ5Y,False
16,INQ,True
16,JUJ,False
16,CQX2H,False
16,XTQVN,False
17,A4,True
17,WS0,False
17,G516Y,False
17,NJOYA,False
18,R2GB,True
18,U9ZC,False
18,28,False
18,41,False
19,0R92,True
19,LVRI,False
19,2AS1,False
19,J3NSL,False
20,KN,True
20,3LT10,False
20,HE7UV,False
20,2M,False
21,2SXM,True
21,P0,False
21,D0,False
21,1VZ,False
22,S22I,True
23,R0PH,True
24,GP,True
25,OL0,True
25,SEPU,False
25,LTTFJ,False
25,C7LCG,False
26,AM,True
26,IG1,False
26,X2B,False
26,8WI,False
27,4B,True
27,VED,False
27,PKW,False
27,CYGX,False
28,J4FO,True
28,WA2U,False
28,NX8IR,False
28,63,False
29,MBE,True
29,ENB0,False
29,L8,False
29,KBZ,False
30,KY,True
30,XW68,False
30,RB8QV,False
30,9EJ,False
31,87,True
32,H1,True
32,ZC,False
32,CW,False
32,WJ,False
33,EF7D,True
33,9HB,False
33,1KO,False
33,IZA,False
34,NNYP,True
35,NOT,True
36,7T,True
36,AUA,False
36,CIH,False
36,JT9T,False
37,HQK,True
37,KUQI3,False
37,BI06E,False
37,2O1,False
38,YIQ,True
39,XU,True
39,YWRN7,False
39,PCK,False
39,I4U,False
40,PHQ,True
41,EA1,True
42,VA,True
43,ONG2,True
44,T9,True
45,HN,True
45,3H,False
45,4QF,False
45,BP,False
46,6AN2,True
46,11JP,False
46,GT7UW,False
46,F4L,False
47,RGR4,True
48,21D,True
48,54,False
48,CI,False
