user_id,name,username,type_of_user
1,C7,GO1B0QM2LFH,S
2,SF,BKVZWD6ZNA,S
3,0HLZ5527BOSTK,FQL7QQUOP6A,S
4,EZK6WK,6M284XDEDI6,F
5,KYT,33PK6LMHRFH,S
6,HCDV,V9MAU4YI,S
7,Q94K,4RC6B2SJO,F
8,W7ZLJ5GE9,L5DCRJ,F
9,0A4UD9B,YN0OD4V,F
10,4QPA6DVZYTXL,Y0M4TIIFWN,S
11,521RWHVRRK,I34ZY,S
12,I5UGS5NO4,E,S
13,AW08P2300U8Z,G,F
14,HSJSZU,8OP11L40UR0UK,F
15,BM047U,2FF3NY1T5OI,F
16,7XYMBSO9SDF,XFJ,S
17,J10ZBNHNHV4,GGZ,F
18,J,BITOZVT1A,F
19,EA1TANZ,PUHGH65PPQG,S
20,P0G,R08JCCQ,F
21,2,LABAJF,F
22,DPD6FY0YDUBV,Z03,F
23,NI371MDMS,0UXEL234,F
24,L7FP3SUOUBT,XXD4S,S
25,0AZBZNMFYNL,X34,F
26,JAOTY,2,F
27,JRJEA4,DYT8G2FCYR,F
28,CG5B,OK87N3ABFAKYA,F
29,QELXC8II,PF5VPNX,S
30,8AWXHT8L74WK,2O6KH2,F
31,9T6B72M,IFCHE2,S
32,CAH,U,S
33,A78C743PHRWB,DJ6YU,F
34,FI,ZGJ6EMCWTHWJO,F
35,XU5XYFYN,N42,S
36,C64VJ9OY,5KK8M0HJ,S
37,NOOPUU9STTS9,D1TTCYH,S
38,RGV3,V3HDXAY,F
39,3,AOX,S
40,O3T0ZUP9YA3I,9ZQYBIIBXK,S
41,1EN4QZB2DC,DY4OJMT,S
42,05,PVKGZ5FH8CTK,S
43,TN4Z6O0EDQM,LHB,F
44,ORN7LHAR24A6,F8NSAH,S
45,9P7YG3TTIT4BL,6,S
46,MKEB0ODJU,ZFE41,S
47,QLBZ519QXUVZ6,D,F
48,72GQB35OP7,X7GGH61,S
49,WERQJHPI,K0,F
50,X4J8EPHN,2EYMQ8KM4,F
51,Q5812PRN,BWGCUJ04,F
52,A8RV50ZOF,XT9DCA9OI,F
53,J,IK5UBNFP4XN,S
54,655XX0,6LMQVZWXO2E,S
55,E,07PZS4IRQ,S
56,Y,CS,S
57,QS,HG8HVK5NW1OL2,S
58,1IUW8S,HQ56EMS7S0XX,S
59,WRGZ8T9ZKZP,H736WE9,S
60,1N43HEMW8N37,M8N12,F
61,LB6WT7O,OTX,F
62,Q4JC,PSC7D7VZ3C,S
63,S4JFV1Y3,S9Q,F
64,2MZ,AAQNNKMTDEB4U,S
65,Z6,73I,F
66,K8PPXG8,Z1A,F
67,8VC1O,EYT3,S
68,LL8EC0281P,VKUS8QW,F
69,QP9CPSADEA,5K21,F
70,ZM214PW4,IQXQARND6VX,S
71,EUDBMO6,7MIG6WE90NJD,F
72,AZVYUBSVQH76X,ZI,F
